id,split,target,label
101,train,Atheism,AGAINST
102,train,Atheism,AGAINST
103,train,Atheism,AGAINST
104,train,Atheism,AGAINST
105,train,Atheism,AGAINST
106,train,Atheism,AGAINST
107,train,Atheism,AGAINST
108,train,Atheism,FAVOR
109,train,Atheism,NONE
110,train,Atheism,NONE
111,train,Atheism,FAVOR
112,train,Atheism,AGAINST
113,train,Atheism,AGAINST
114,train,Atheism,AGAINST
115,train,Atheism,AGAINST
116,train,Atheism,AGAINST
117,train,Atheism,NONE
118,train,Atheism,AGAINST
119,train,Atheism,FAVOR
120,train,Atheism,AGAINST
121,train,Atheism,AGAINST
122,train,Atheism,FAVOR
123,train,Atheism,NONE
124,train,Atheism,AGAINST
125,train,Atheism,AGAINST
126,train,Atheism,FAVOR
127,train,Atheism,AGAINST
128,train,Atheism,AGAINST
129,train,Atheism,AGAINST
130,train,Atheism,NONE
131,train,Atheism,AGAINST
132,train,Atheism,AGAINST
133,train,Atheism,AGAINST
134,train,Atheism,FAVOR
135,train,Atheism,NONE
136,train,Atheism,AGAINST
137,train,Atheism,NONE
138,train,Atheism,AGAINST
139,train,Atheism,AGAINST
140,train,Atheism,AGAINST
141,train,Atheism,AGAINST
142,train,Atheism,AGAINST
143,train,Atheism,AGAINST
144,train,Atheism,AGAINST
145,train,Atheism,AGAINST
146,train,Atheism,FAVOR
147,train,Atheism,FAVOR
148,train,Atheism,NONE
149,train,Atheism,AGAINST
150,train,Atheism,FAVOR
151,train,Atheism,FAVOR
152,train,Atheism,AGAINST
153,train,Atheism,FAVOR
154,train,Atheism,AGAINST
155,train,Atheism,AGAINST
156,train,Atheism,NONE
157,train,Atheism,FAVOR
158,train,Atheism,FAVOR
159,train,Atheism,NONE
160,train,Atheism,FAVOR
161,train,Atheism,AGAINST
162,train,Atheism,NONE
163,train,Atheism,FAVOR
164,dev,Atheism,NONE
165,train,Atheism,AGAINST
166,train,Atheism,AGAINST
167,train,Atheism,AGAINST
168,train,Atheism,AGAINST
169,train,Atheism,AGAINST
170,train,Atheism,AGAINST
171,train,Atheism,FAVOR
172,train,Atheism,AGAINST
173,train,Atheism,AGAINST
174,train,Atheism,AGAINST
175,train,Atheism,FAVOR
176,train,Atheism,AGAINST
177,train,Atheism,NONE
178,train,Atheism,FAVOR
179,train,Atheism,FAVOR
180,train,Atheism,NONE
181,train,Atheism,AGAINST
182,train,Atheism,AGAINST
183,train,Atheism,FAVOR
184,train,Atheism,NONE
185,train,Atheism,AGAINST
186,train,Atheism,NONE
187,train,Atheism,NONE
188,train,Atheism,AGAINST
189,train,Atheism,AGAINST
190,train,Atheism,AGAINST
191,train,Atheism,NONE
192,train,Atheism,AGAINST
193,train,Atheism,AGAINST
194,train,Atheism,AGAINST
195,train,Atheism,AGAINST
196,train,Atheism,AGAINST
197,train,Atheism,FAVOR
198,train,Atheism,AGAINST
199,train,Atheism,AGAINST
200,train,Atheism,FAVOR
201,train,Atheism,AGAINST
202,train,Atheism,FAVOR
203,train,Atheism,FAVOR
204,train,Atheism,FAVOR
205,train,Atheism,AGAINST
206,train,Atheism,AGAINST
207,train,Atheism,AGAINST
208,train,Atheism,AGAINST
209,train,Atheism,FAVOR
210,train,Atheism,FAVOR
211,train,Atheism,AGAINST
212,train,Atheism,NONE
213,train,Atheism,NONE
214,train,Atheism,AGAINST
215,train,Atheism,AGAINST
216,train,Atheism,AGAINST
217,train,Atheism,AGAINST
218,train,Atheism,AGAINST
219,train,Atheism,FAVOR
220,train,Atheism,FAVOR
221,train,Atheism,AGAINST
222,train,Atheism,AGAINST
223,dev,Atheism,AGAINST
224,train,Atheism,AGAINST
225,train,Atheism,NONE
226,train,Atheism,FAVOR
227,train,Atheism,AGAINST
228,train,Atheism,NONE
229,train,Atheism,AGAINST
230,train,Atheism,FAVOR
231,train,Atheism,AGAINST
232,train,Atheism,AGAINST
233,train,Atheism,AGAINST
234,train,Atheism,AGAINST
235,train,Atheism,AGAINST
236,train,Atheism,AGAINST
237,train,Atheism,NONE
238,train,Atheism,AGAINST
239,train,Atheism,AGAINST
240,train,Atheism,AGAINST
241,train,Atheism,AGAINST
242,train,Atheism,FAVOR
243,train,Atheism,AGAINST
244,train,Atheism,FAVOR
245,train,Atheism,FAVOR
246,train,Atheism,FAVOR
247,train,Atheism,AGAINST
248,train,Atheism,NONE
249,train,Atheism,AGAINST
250,train,Atheism,AGAINST
251,train,Atheism,NONE
252,train,Atheism,AGAINST
253,train,Atheism,NONE
254,train,Atheism,FAVOR
255,train,Atheism,AGAINST
256,train,Atheism,AGAINST
257,train,Atheism,NONE
258,train,Atheism,AGAINST
259,train,Atheism,FAVOR
260,train,Atheism,NONE
261,train,Atheism,AGAINST
262,train,Atheism,AGAINST
263,train,Atheism,AGAINST
264,train,Atheism,AGAINST
265,train,Atheism,AGAINST
266,train,Atheism,NONE
267,train,Atheism,AGAINST
268,train,Atheism,AGAINST
269,train,Atheism,AGAINST
270,train,Atheism,AGAINST
271,train,Atheism,AGAINST
272,train,Atheism,AGAINST
273,train,Atheism,NONE
274,train,Atheism,NONE
275,train,Atheism,AGAINST
276,train,Atheism,AGAINST
277,train,Atheism,FAVOR
278,train,Atheism,NONE
279,train,Atheism,NONE
280,train,Atheism,AGAINST
