model,condition,item_id,target,complete,consistency,majority_pred,majority_correct,unanimous
gpt4o_mini,zero_shot,10005,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10007,Atheism,True,1.0,FAVOR,False,True
gpt4o_mini,zero_shot,10008,Atheism,True,0.6666666666666666,AGAINST,True,False
gpt4o_mini,zero_shot,10009,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10010,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10012,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10014,Atheism,True,1.0,FAVOR,False,True
gpt4o_mini,zero_shot,10015,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10016,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10017,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10018,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10020,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10021,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10023,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10024,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10027,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10028,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10031,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10032,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10033,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10035,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10037,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10038,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10039,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10042,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10043,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10044,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10049,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10050,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10052,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10054,Atheism,True,1.0,FAVOR,False,True
gpt4o_mini,zero_shot,10055,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10056,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10057,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10058,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10059,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10060,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10061,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10063,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10064,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10065,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10069,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10071,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10074,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10075,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10077,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10081,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10082,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10084,Atheism,True,1.0,AGAINST,False,True
gpt4o_mini,zero_shot,10085,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10086,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10087,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10093,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10095,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10096,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10100,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10108,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10109,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10110,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10111,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10113,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10114,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10115,Atheism,True,1.0,NONE,False,True
gpt4o_mini,zero_shot,10116,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10117,Atheism,True,1.0,NONE,True,True
gpt4o_mini,zero_shot,10118,Atheism,True,1.0,AGAINST,True,True
gpt4o_mini,zero_shot,10119,Atheism,True,1.0,AGAINST,False,True
